# Botanical Bed Builder - curated native plant table. EDIT THIS FILE to change plants.
# Pipe-delimited ("|"). Lines starting with # are comments. Read by build_data.py.
# regions: NE=Northeast/Mid-Atlantic SE=Southeast MW=Midwest/Great Lakes GP=Great Plains
#          TX=Texas/S-Central SW=Southwest desert MTN=Rockies/Intermountain
#          PNW=Pacific Northwest CA=California FL=Florida/subtropical
# light: S=full sun(6h+) P=part shade(3-6h) H=shade(<3h)   moist: D=dry M=average W=moist/wet
# layer: STRUCT=structural SEASONAL=seasonal-theme MATRIX=groundcover GRASS FERN SHRUB FILLER
# lep = approximate Lepidoptera species supported at GENUS level (NWF / Tallamy). Verify by county.
# sb  = Y if a documented pollen-specialist bee host (Fowler & Droege).
id|sci|common|family|regions|zmin|zmax|light|moist|hmin|hmax|spread|spacing|bloom_start|bloom_end|colors|layer|form|lep|sb|hosts|wildlife|notes
# ---------- EASTERN / MIDWEST SUN PERENNIALS ----------
asclepias_tuberosa|Asclepias tuberosa|Butterfly Weed|Apocynaceae|NE,SE,MW,GP,TX,FL|3|9|S|D,M|12|30|18|18|6|8|orange|SEASONAL|umbel|12|Y|Monarch;Queen;Milkweed Tussock Moth|deer_resistant;winter_seedhead|Deep taproot: plant small and never move it. Emerges late, so mark the spot.
asclepias_incarnata|Asclepias incarnata|Swamp Milkweed|Apocynaceae|NE,SE,MW,GP,TX,FL|3|9|S,P|M,W|36|60|30|24|6|8|pink|SEASONAL|umbel|12|Y|Monarch;Milkweed Tussock Moth|winter_seedhead|Tolerates ordinary garden soil despite the name. Best milkweed for a tidy bed.
asclepias_verticillata|Asclepias verticillata|Whorled Milkweed|Apocynaceae|NE,SE,MW,GP,TX|3|9|S|D,M|12|24|12|15|7|9|white|FILLER|fine|12|Y|Monarch|deer_resistant|Fine needle foliage, spreads by rhizome: a useful late-season monarch host.
asclepias_syriaca|Asclepias syriaca|Common Milkweed|Apocynaceae|NE,SE,MW,GP|3|9|S|D,M|36|60|24|30|6|8|pink|FILLER|bold|12|Y|Monarch;Milkweed Tussock Moth|winter_seedhead|Highly rhizomatous. Use only in large informal beds or a dedicated waystation.
baptisia_australis|Baptisia australis|Blue False Indigo|Fabaceae|NE,SE,MW|3|9|S,P|D,M|36|48|42|36|5|6|blue|STRUCT|mound|10||Wild Indigo Duskywing;Hoary Edge;Frosted Elfin|deer_resistant;winter_seedhead;nfix|Shrub-like mound holds form all season. Black seedpods rattle in winter. Very long lived.
baptisia_alba|Baptisia alba|White Wild Indigo|Fabaceae|NE,SE,MW,GP|4|9|S|D,M|36|60|36|36|5|6|white|STRUCT|spike|10||Wild Indigo Duskywing;Frosted Elfin|deer_resistant;winter_seedhead;nfix|Charcoal stems and white spires: the strongest vertical accent in a prairie planting.
echinacea_purpurea|Echinacea purpurea|Purple Coneflower|Asteraceae|NE,SE,MW,GP|3|8|S,P|D,M|24|40|20|18|6|9|purple-pink|SEASONAL|daisy|15|Y|Silvery Checkerspot;Wavy-lined Emerald|birdseed;winter_seedhead|Leave seedheads for goldfinches. Use the straight species, not double-flowered cultivars.
echinacea_pallida|Echinacea pallida|Pale Purple Coneflower|Asteraceae|MW,GP,TX|3|8|S|D,M|24|40|18|18|5|7|pale pink|SEASONAL|daisy|15|Y|Silvery Checkerspot|birdseed;winter_seedhead|Drooping narrow rays, earlier than E. purpurea. Superb in lean soil.
rudbeckia_fulgida|Rudbeckia fulgida var. sullivantii|Orange Coneflower|Asteraceae|NE,SE,MW|3|9|S,P|M,W|24|36|24|18|7|10|yellow|SEASONAL|daisy|20|Y|Silvery Checkerspot;Wavy-lined Emerald|birdseed;winter_seedhead|Long bloom and a clean basal rosette. The cultivar Goldsturm is this species.
